timestamp,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage,fps_estimate
2024-11-27T15:08:31.390225,28.0,1716.0,8188.0,36.0,6.66,50.0,0.1,6.8,48.0
2024-11-27T15:08:32.709453,11.0,1708.0,8188.0,36.0,6.66,50.0,0.2,6.8,34.0
2024-11-27T15:08:32.971616,5.0,1708.0,8188.0,36.0,6.64,50.0,0.3,6.8,12.0
2024-11-27T15:08:34.267327,26.0,1708.0,8188.0,36.0,6.62,50.0,0.1,6.8,42.0
2024-11-27T15:08:35.575471,27.0,1707.0,8188.0,36.0,6.74,50.0,0.2,6.8,2.0
2024-11-27T15:08:36.884609,4.0,1707.0,8188.0,36.0,6.61,50.0,0.2,6.8,46.0
2024-11-27T15:08:38.160805,19.0,1707.0,8188.0,36.0,6.59,50.0,0.1,6.8,30.0
2024-11-27T15:08:39.487545,27.0,1707.0,8188.0,36.0,6.59,50.0,0.1,6.8,16.0
2024-11-27T15:08:40.804775,24.0,1754.0,8188.0,36.0,7.15,50.0,0.2,6.8,6.0
2024-11-27T15:08:42.117425,2.0,1755.0,8188.0,37.0,18.76,50.0,0.2,6.8,44.0
2024-11-27T15:08:43.428103,7.0,1728.0,8188.0,37.0,25.89,50.0,0.2,6.8,10.0
2024-11-27T15:08:44.730148,1.0,1717.0,8188.0,36.0,25.74,50.0,0.2,6.8,12.0
2024-11-27T15:08:46.034364,2.0,1716.0,8188.0,36.0,11.24,50.0,0.2,6.8,2.0
2024-11-27T15:08:47.360309,20.0,1702.0,8188.0,36.0,8.84,50.0,0.1,6.8,36.0
2024-11-27T15:08:48.672020,6.0,1687.0,8188.0,36.0,6.92,50.0,0.2,6.8,28.0
2024-11-27T15:08:49.965268,7.0,1663.0,8188.0,36.0,6.94,50.0,0.2,6.8,2.0
2024-11-27T15:08:51.291902,5.0,1663.0,8188.0,36.0,6.88,50.0,0.0,6.8,4.0
2024-11-27T15:08:52.613257,5.0,1662.0,8188.0,36.0,6.8,50.0,0.1,6.8,1
2024-11-27T15:08:53.928261,5.0,1661.0,8188.0,35.0,6.73,50.0,0.2,6.8,1
2024-11-27T15:08:55.222899,5.0,1660.0,8188.0,35.0,6.77,50.0,0.1,6.8,1
2024-11-27T15:08:56.513889,10.0,1660.0,8188.0,35.0,6.78,50.0,0.2,6.8,10.0
2024-11-27T15:08:57.828548,5.0,1660.0,8188.0,35.0,6.95,50.0,0.2,6.8,10.0
2024-11-27T15:08:59.141064,4.0,1660.0,8188.0,35.0,6.98,50.0,0.3,6.8,2.0
2024-11-27T15:09:00.489601,20.0,1660.0,8188.0,35.0,6.88,50.0,0.4,6.8,32.0
2024-11-27T15:09:01.808392,6.0,1660.0,8188.0,35.0,6.77,50.0,0.4,6.8,28.0
2024-11-27T15:09:03.127833,4.0,1657.0,8188.0,35.0,6.88,50.0,0.1,6.8,4.0
2024-11-27T15:09:03.379920,28.0,1657.0,8188.0,35.0,6.77,50.0,0.3,6.8,48.0
2024-11-27T15:09:04.709364,8.0,1663.0,8188.0,35.0,6.84,50.0,0.1,6.8,40.0
2024-11-27T15:09:06.013416,6.0,1662.0,8188.0,35.0,6.99,50.0,0.2,6.8,4.0
2024-11-27T15:09:07.395526,27.0,1662.0,8188.0,35.0,6.97,50.0,0.3,6.8,42.0
2024-11-27T15:09:08.713643,27.0,1661.0,8188.0,35.0,6.78,50.0,0.1,6.8,1
2024-11-27T15:09:10.040021,5.0,1660.0,8188.0,35.0,6.78,50.0,0.2,6.8,44.0
2024-11-27T15:09:11.365608,5.0,1660.0,8188.0,35.0,6.76,50.0,0.2,6.8,1
2024-11-27T15:09:12.682372,27.0,1660.0,8188.0,35.0,6.82,50.0,0.1,6.8,44.0
2024-11-27T15:09:14.017265,8.0,1660.0,8188.0,35.0,6.82,50.0,0.3,6.8,38.0
2024-11-27T15:09:15.309445,7.0,1660.0,8188.0,35.0,6.9,50.0,0.5,6.8,2.0
2024-11-27T15:09:16.613648,26.0,1660.0,8188.0,35.0,6.8,50.0,0.0,6.8,38.0
2024-11-27T15:09:17.904320,5.0,1660.0,8188.0,35.0,6.82,50.0,0.1,6.8,42.0
2024-11-27T15:09:19.198465,6.0,1660.0,8188.0,35.0,6.67,50.0,0.3,6.8,2.0
2024-11-27T15:09:20.501101,25.0,1661.0,8188.0,35.0,6.92,50.0,0.0,6.8,38.0
2024-11-27T15:09:21.817513,6.0,1673.0,8188.0,35.0,6.83,50.0,0.0,6.8,38.0
2024-11-27T15:09:23.117651,5.0,1673.0,8188.0,35.0,6.76,50.0,0.6,6.8,2.0
2024-11-27T15:09:24.422344,11.0,1676.0,8188.0,35.0,7.03,50.0,0.3,6.9,12.0
2024-11-27T15:09:25.754842,4.0,1676.0,8188.0,35.0,7.01,50.0,0.1,6.9,14.0
2024-11-27T15:09:27.099896,12.0,1667.0,8188.0,34.0,6.95,50.0,0.0,6.9,16.0
2024-11-27T15:09:28.414989,2.0,1684.0,8188.0,35.0,22.42,50.0,0.3,6.9,20.0
2024-11-27T15:09:29.735082,8.0,1691.0,8188.0,35.0,25.5,50.0,0.3,6.9,12.0
2024-11-27T15:09:31.069166,1.0,1691.0,8188.0,36.0,25.34,50.0,0.1,6.9,14.0
2024-11-27T15:09:32.404742,4.0,1718.0,8188.0,35.0,11.31,50.0,0.2,6.9,6.0
2024-11-27T15:09:33.706124,4.0,1729.0,8188.0,35.0,10.7,50.0,0.2,6.9,1
2024-11-27T15:09:35.025422,48.0,1720.0,8188.0,35.0,7.3,50.0,0.2,6.9,88.0
2024-11-27T15:09:35.293590,56.0,1720.0,8188.0,35.0,7.39,50.0,0.3,6.9,16.0
2024-11-27T15:09:36.618261,11.0,1714.0,8188.0,35.0,11.03,50.0,0.1,6.9,90.0
2024-11-27T15:09:37.963681,50.0,1690.0,8188.0,34.0,8.42,50.0,0.3,6.9,78.0
2024-11-27T15:09:39.305849,25.0,1695.0,8188.0,34.0,7.4,50.0,0.1,6.9,50.0
2024-11-27T15:09:40.635354,14.0,1680.0,8188.0,34.0,10.95,50.0,0.3,6.9,22.0
2024-11-27T15:09:41.933652,30.0,1678.0,8188.0,34.0,8.94,50.0,0.3,6.9,32.0
2024-11-27T15:09:43.276319,24.0,1673.0,8188.0,34.0,7.25,50.0,0.2,6.9,12.0
2024-11-27T15:09:44.618764,14.0,1683.0,8188.0,34.0,10.97,50.0,0.2,6.9,20.0
2024-11-27T15:09:45.932849,21.0,1682.0,8188.0,34.0,8.61,50.0,0.4,6.9,14.0
2024-11-27T15:09:47.271801,25.0,1677.0,8188.0,34.0,9.86,50.0,0.2,6.9,8.0
2024-11-27T15:09:48.604604,26.0,1677.0,8188.0,34.0,9.93,50.0,0.1,6.9,2.0
2024-11-27T15:09:49.927093,16.0,1683.0,8188.0,34.0,10.88,50.0,0.2,6.9,20.0
2024-11-27T15:09:51.267644,22.0,1694.0,8188.0,34.0,8.89,50.0,0.2,6.9,12.0
2024-11-27T15:09:52.618880,20.0,1690.0,8188.0,34.0,7.01,50.0,0.2,6.9,4.0
2024-11-27T15:09:53.926987,19.0,1680.0,8188.0,34.0,6.95,50.0,0.2,6.9,2.0
2024-11-27T15:09:55.267823,16.0,1680.0,8188.0,34.0,6.96,50.0,0.0,6.9,6.0
2024-11-27T15:09:56.596909,34.0,1677.0,8188.0,34.0,6.98,50.0,0.3,6.9,36.0
2024-11-27T15:09:57.907377,7.0,1714.0,8188.0,34.0,7.0,50.0,0.0,6.9,54.0
2024-11-27T15:09:59.226101,4.0,1713.0,8188.0,34.0,6.76,50.0,0.0,6.9,6.0
2024-11-27T15:10:00.553207,9.0,1727.0,8188.0,34.0,6.95,50.0,0.4,6.9,10.0
2024-11-27T15:10:01.878444,11.0,1726.0,8188.0,34.0,6.94,50.0,0.2,6.9,4.0
2024-11-27T15:10:03.193540,9.0,1710.0,8188.0,34.0,7.02,50.0,0.3,6.9,4.0
2024-11-27T15:10:04.510564,12.0,1707.0,8188.0,34.0,7.34,50.0,0.1,6.9,6.0
2024-11-27T15:10:05.832595,14.0,1729.0,8188.0,34.0,7.48,50.0,0.1,6.9,4.0
2024-11-27T15:10:06.003118,3.0,1727.0,8188.0,34.0,10.87,50.0,0.3,6.9,22.0
2024-11-27T15:10:07.295568,4.0,1708.0,8188.0,34.0,8.91,50.0,0.0,6.9,2.0
2024-11-27T15:10:08.621566,26.0,1706.0,8188.0,34.0,6.87,50.0,0.3,6.9,44.0
2024-11-27T15:10:09.954771,13.0,1683.0,8188.0,34.0,6.97,50.0,0.3,6.9,26.0
2024-11-27T15:10:11.280010,6.0,1677.0,8188.0,34.0,6.92,50.0,0.1,6.9,14.0
2024-11-27T15:10:12.608725,38.0,1675.0,8188.0,34.0,6.89,50.0,0.3,6.9,64.0
2024-11-27T15:10:13.940645,17.0,1677.0,8188.0,34.0,7.03,50.0,0.2,6.9,42.0
2024-11-27T15:10:15.244281,4.0,1677.0,8188.0,34.0,6.9,50.0,0.1,6.9,26.0
2024-11-27T15:10:16.534052,28.0,1696.0,8188.0,34.0,6.92,50.0,0.2,6.9,48.0
2024-11-27T15:10:17.857665,23.0,1693.0,8188.0,34.0,6.81,50.0,0.1,6.9,10.0
2024-11-27T15:10:19.157140,6.0,1690.0,8188.0,34.0,6.79,50.0,0.3,6.9,34.0
2024-11-27T15:10:20.482455,28.0,1718.0,8188.0,34.0,6.89,50.0,0.1,6.9,44.0
2024-11-27T15:10:21.819692,31.0,1716.0,8188.0,34.0,6.57,0.0,0.1,6.9,6.0
2024-11-27T15:10:23.147438,21.0,1706.0,8188.0,34.0,6.88,0.0,0.1,6.9,20.0
2024-11-27T15:10:24.446889,15.0,1730.0,8188.0,34.0,10.26,0.0,0.1,6.9,12.0
2024-11-27T15:10:25.784842,20.0,1721.0,8188.0,34.0,10.95,0.0,0.2,6.9,10.0
