timestamp,game_running,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage,fps_estimate
2024-11-27T15:12:13.575629,True,8.0,1835.0,8188.0,39.0,30.33,0.0,0.4,6.9,1
2024-11-27T15:12:15.235681,True,37.0,1826.0,8188.0,38.0,13.07,0.0,0.3,6.9,58.0
2024-11-27T15:12:16.900366,True,18.0,1826.0,8188.0,38.0,11.83,0.0,0.3,6.9,38.0
2024-11-27T15:12:18.575449,True,18.0,1826.0,8188.0,38.0,11.58,0.0,0.1,6.9,1
2024-11-27T15:12:20.251762,True,38.0,1815.0,8188.0,38.0,9.55,0.0,0.3,6.9,40.0
2024-11-27T15:12:21.927207,True,30.0,1810.0,8188.0,38.0,11.94,0.0,0.4,6.9,16.0
2024-11-27T15:12:23.605487,True,24.0,1810.0,8188.0,38.0,10.53,0.0,0.3,6.9,12.0
2024-11-27T15:12:25.278816,True,4.0,1823.0,8188.0,39.0,21.28,0.0,0.1,6.9,40.0
2024-11-27T15:12:26.959016,True,7.0,1822.0,8188.0,38.0,19.18,0.0,0.3,6.9,6.0
2024-11-27T15:12:28.642233,True,12.0,1817.0,8188.0,38.0,11.76,0.0,0.3,6.9,10.0
2024-11-27T15:12:30.305325,True,13.0,1817.0,8188.0,38.0,10.22,0.0,0.2,6.9,2.0
2024-11-27T15:12:31.986216,True,26.0,1817.0,8188.0,38.0,10.63,0.0,0.2,6.9,26.0
2024-11-27T15:12:33.619910,True,13.0,1817.0,8188.0,38.0,10.15,0.0,0.4,6.9,26.0
2024-11-27T15:12:35.297087,True,50.0,1817.0,8188.0,38.0,9.91,0.0,0.4,6.9,74.0
2024-11-27T15:12:36.975658,True,24.0,1807.0,8188.0,38.0,10.86,0.0,0.6,6.9,52.0
2024-11-27T15:12:38.656381,True,25.0,1804.0,8188.0,39.0,9.25,0.0,0.4,6.9,2.0
2024-11-27T15:12:40.342940,True,12.0,1804.0,8188.0,39.0,11.54,0.0,0.2,6.9,26.0
2024-11-27T15:12:42.138131,True,14.0,1804.0,8188.0,39.0,10.06,0.0,0.5,6.9,4.0
